Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,624426,261109,81206,790050,232312,122867,103045,4802043,6415751,124530,47281,1076421,214405,1162971,128280,4624338,1148604,7201125,128540,5263917,3846881
500,504551,301983,90848,230154,245307,154469,114720,14259736,489572,142398,33623,2850056,234654,3077883,151491,14037986,483379,17797616,179369,14792084,11823696
750,537840,338036,91052,257179,251897,152076,106367,24183168,406082,129827,35634,4743716,224236,5121040,152981,31256837,663365,31148205,99284,28973034,21074259
1000,515006,321476,102045,237388,258890,151678,104657,50909013,490299,127162,32622,6596789,228938,7169569,153649,24242718,221362,44122333,106334,46365289,33890712
1250,542402,329920,111702,242375,461588,154408,101675,78874834,422638,139127,33586,8405191,231071,9064811,148003,35459510,1227242,62601496,103729,57299472,54648499
1500,518473,342005,118134,228384,257392,141591,107731,59629105,467845,134282,34893,9987542,218928,11127564,149666,114089686,220463,112719281,78819,67221410,56584873
1750,549952,334740,112991,235625,2653991,162228,109785,52577301,377717,139356,64898,31222861,223296,13026025,141830,47991885,232760,93384206,79252,114545046,136483751
2000,526023,367951,103260,222335,247802,149589,110560,59949423,384205,139650,64412,21079922,272079,14907066,138010,54387311,221652,174165659,80893,105470995,84916494
2250,557592,365443,125610,226863,263765,131160,108229,72549513,423473,143949,66034,19532896,257300,17479790,137391,67430552,9008053,140808680,93517,116569617,79039804
2500,584447,478748,130240,227606,273107,132530,110196,128478137,427571,151169,64315,25423872,236449,19431089,144412,81232902,209874,194192110,78111,123626961,67641327
2750,578331,525021,138419,223392,253800,130313,116765,98204911,447679,167342,64700,38691041,223745,21730866,141944,74636354,181186,272316817,80259,146765940,75771981
3000,560970,515088,134900,234501,258940,151208,116252,153685848,417833,181458,64519,37727982,228195,23134130,138613,83108750,172008,204268621,93849,167053422,89679089
3250,569927,408735,136547,230096,250344,135424,105309,123636812,643437,206784,60370,43309274,246709,26059768,137356,83285313,172954,205291084,62635,208955946,99619204
