Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,588743,358325,94352,304077,194442,72662,109033,3915119,1350029,190463,59815,860364,201312,3932867,107081,8456228,373242,6019117,137961,6028014,5179870
500,627110,383986,107157,246300,223672,66907,107164,12770603,460695,212737,57846,2123393,214070,4983184,107849,19609489,270602,16565486,217548,17314353,15183860
750,702942,419497,117855,192547,190740,89286,95495,20533391,497734,200360,51912,3305974,218002,8999917,108671,21797205,398504,27910681,109205,32166233,25501309
1000,675814,649908,155987,151345,179862,71900,136406,35104158,744352,230459,52692,4556355,231385,13889538,117249,30909061,113982,39855399,118222,49044430,33912880
1250,681650,447374,405535,155681,156846,69663,127608,38834906,496896,198429,53828,6116087,236265,9404127,115450,39197233,848159,52391235,108399,58432858,45758615
1500,700003,456968,164219,148995,425574,71736,127375,43402549,614952,194179,55586,7850371,229177,11762213,108352,46548585,142424,60547081,110695,71527728,41867697
1750,729904,498546,169201,139142,191917,65766,138591,70598353,560944,216142,47360,8321758,231198,14477704,112345,57520917,144631,91013718,303543,102183252,56508263
2000,785656,479235,160714,144133,186329,69914,122567,90009858,550808,209853,65572,11018764,250379,16200313,4158032,63685670,151408,94534301,110237,115274513,57368879
2250,938907,494689,204996,149559,164816,61645,123796,63608336,533806,203541,56904,12221878,252745,19547435,115540,75303583,1572458,129367124,96716,138992955,100326671
2500,767363,513304,164027,146722,195898,69228,157553,70058773,533946,225981,84265,13113766,237037,49581875,118361,83418721,144481,148731201,99124,147994330,69660570
2750,778154,546117,174549,155235,185226,92170,117935,72938995,527585,227473,49268,14863536,243866,68962005,116992,93454827,152293,215366666,112585,153979999,76739257
3000,752403,759720,184379,144991,195329,87472,120855,87059820,756938,226902,44784,16458115,235294,75983454,119362,100761278,142993,187778891,94339,177399535,119673740
3250,760984,539839,204946,148298,171310,90732,143325,98747632,879955,250135,43332,17479471,247725,25093380,136016,107817120,132058,247682409,86611,173346740,107771107
3500,897246,537048,192347,147430,184088,81713,116498,99902073,491915,220307,35626,19229119,237289,36720321,125634,115769802,117192,209410780,88472,182632194,104668516
3750,1234236,648819,212008,159269,254072,79935,94344,104095947,566886,220999,35647,21127212,243564,47251057,127544,125456140,115459,237411283,88342,192454541,106956591
4000,885040,678015,198513,151103,172490,81616,84733,114558116,510845,219513,35972,21186407,242670,46885858,127467,143685286,116844,234220219,91497,191318124,109486105
4250,868778,566615,196806,210773,240199,89528,103544,125663830,539926,225376,35886,28332494,245627,76850111,120698,132543903,2731869,272322634,84360,227518443,131565403
4500,939155,706974,191588,160923,389134,93158,138960,144480555,571073,249736,35640,30301363,238475,33244637,130480,127634158,118992,291770087,81976,252418525,162249062
4750,1048520,812227,192336,176260,266557,86478,112689,149778991,555067,304273,35518,41517450,253919,37017799,135919,140753067,107773,324405523,74160,302756859,200603575
5000,1109562,586308,187052,158611,243961,69196,112297,145911246,544971,231566,38763,35676066,245116,40401759,149449,177336314,110364,376006574,49755,453534114,170044539
5250,13455,6963,1497,3044,445782,2488,1020,2518486

